CP_ID,Phase,CP_Item,Status,Owner,Evidence_Path,Date_Available,Frequency,Blocking,Notes,Lender_Name,Last_Updated
CP-01,1,Executive Summary (final),Ready,Borrower,01_EXECUTIVE_OVERVIEW/01.01 Executive Summary.pdf,Immediate,,Yes,,,[YYYY-MM-DD]
CP-02,1,Collateral Summary Sheet (final),Ready,Borrower,01_EXECUTIVE_OVERVIEW/01.02 Collateral Summary Sheet.pdf,Immediate,,Yes,,,[YYYY-MM-DD]
CP-03,1,Loan Commitment Package (clean lender-facing),Ready,Borrower,08_LENDER_PACKAGE/08.01 Loan Commitment Package (v2).pdf,Immediate,,Yes,,,[YYYY-MM-DD]
CP-04,1,Entity formation + Good Standing,In Progress,Counsel,02_ENTITY_DOCUMENTS/02.01 Certificate of Formation.pdf + 02.03 Good Standing.pdf,1-2 BD,,Yes,Good Standing ordered fresh per engagement,,[YYYY-MM-DD]
CP-05,1,Corporate authority (resolutions / signatory attestations),Ready,Counsel,02_ENTITY_DOCUMENTS/02.04 Manager Resolution.pdf + 02.05 Signatory Authority.pdf,Immediate,,Yes,,,[YYYY-MM-DD]
CP-06,1,Collateral existence evidence (PPM + CUSIP + Issuance Resolution),Ready,Borrower,03_COLLATERAL_DOCUMENTATION/03.01 PPM.pdf + 03.07 Issuance Resolution.pdf,Immediate,,Yes,CUSIP 144A: 87225HAB4,,[YYYY-MM-DD]
CP-07,1,Custody evidence (STC statements / security list),In Progress,Custodian,03_COLLATERAL_DOCUMENTATION/03.03 STC Security List.pdf + 03.04 STC Position Statement.pdf,Issuer: Immediate / Holder: 3-5 BD,,Yes,Holder-specific if requested,,[YYYY-MM-DD]
CP-08,1,Insurance evidence package,In Progress,Insurer,04_INSURANCE/04.01 Lloyd's Confirmation.pdf + 04.02 Full Policy Schedule.pdf,Confirmation: Immediate / Full: 5-7 BD,,Yes,Must be lender-addable (loss payee),,[YYYY-MM-DD]
CP-09,1,Legal opinion (scope + reliance),Ready,Counsel,05_LEGAL/05.01 Legal Opinion — K. Knowles.pdf,Immediate,,Yes,Confirm reliance language with lender counsel,,[YYYY-MM-DD]
CP-10,1,Compliance pack (KYC/AML/SoF) summary,In Progress,Borrower,06_COMPLIANCE/06.01 KYC Entity.pdf + 06.04 Source of Funds.pdf,Upon NDA,,Yes,PII tiered access,,[YYYY-MM-DD]
CP-11,1,Borrowing Base Policy,Ready,Borrower,01_EXECUTIVE_OVERVIEW/01.04 Borrowing Base Policy.pdf,Immediate,,Yes,40% LTV from cost basis,,[YYYY-MM-DD]
CP-12,1,Wave 1 Lender Package (lender-specific),Ready,Borrower,08_LENDER_PACKAGE/08.02 Credit Committee Positioning Brief.pdf,Immediate,,Yes,,,[YYYY-MM-DD]
CP-13,1,NDA / Confidentiality Agreement,In Progress,Borrower,10_CORRESPONDENCE/[LENDER]/NDA/NDA_executed.pdf,Per lender template,,Yes,Same-day execution,,[YYYY-MM-DD]
CP-14,2,UBO disclosure + org chart,In Progress,Borrower,06_COMPLIANCE/06.06 UBO Disclosure.pdf,Upon NDA + request,,Yes,,,[YYYY-MM-DD]
CP-15,2,Full KYC documents (tiered),Lender-Dependent,Borrower,06_COMPLIANCE/06.02 KYC Manager UBOs.pdf,Upon NDA + request,,Yes,Release after NDA + compliance request,,[YYYY-MM-DD]
CP-16,2,Borrower financial summary,In Progress,Borrower,07_FINANCIAL/07.02 Borrower Financial Statements.pdf,5 BD,,Yes,Non-audited ok initially,,[YYYY-MM-DD]
CP-17,2,BBC template + initial BBC,In Progress,Borrower,07_FINANCIAL/07.01 Borrowing Base Certificate.pdf,2 BD,,Yes,,,[YYYY-MM-DD]
CP-18,2,Valuation memo / haircut basis,In Progress,Borrower/Counsel,07_FINANCIAL/VALUATION_MEMO.pdf,5-10 BD,,Medium,PRIMARY GATING ITEM - Broker Opinion of Value preferred,,[YYYY-MM-DD]
CP-19,2,Custodian confirmation protocol,Ready,Custodian,09_VERIFICATION/09.02 STC Contact Information.pdf,Immediate,,Medium,,,[YYYY-MM-DD]
CP-20,2,Lender diligence Q&A log starts,Ready,Borrower,10_CORRESPONDENCE/[LENDER]/QA_Log/QA_Log.md,Immediate,,No,Keep siloed per lender,,[YYYY-MM-DD]
